({b"H'\xe2\r\x80h": [-54, 18550]}, ': ', b'SEND: sleep=0.8 | counter=35 | timeElap=HR=0 min=0, sec=37') 
({b"H'\xe2\r\x80h": [-52, 19600]}, ': ', b'SEND: sleep=0.8 | counter=36 | timeElap=HR=0 min=0, sec=38') 
({b"H'\xe2\r\x80h": [-54, 20650]}, ': ', b'SEND: sleep=0.8 | counter=37 | timeElap=HR=0 min=0, sec=39') 
({b"H'\xe2\r\x80h": [-53, 21930]}, ': ', b'SEND: sleep=0.8 | counter=38 | timeElap=HR=0 min=0, sec=41') 
({b"H'\xe2\r\x80h": [-54, 22980]}, ': ', b'SEND: sleep=0.8 | counter=39 | timeElap=HR=0 min=0, sec=42') 
({b"H'\xe2\r\x80h": [-54, 24040]}, ': ', b'SEND: sleep=0.8 | counter=40 | timeElap=HR=0 min=0, sec=43') 
({b"H'\xe2\r\x80h": [-53, 25090]}, ': ', b'SEND: sleep=0.8 | counter=41 | timeElap=HR=0 min=0, sec=44') 
({b"H'\xe2\r\x80h": [-52, 26260]}, ': ', b'SEND: sleep=0.8 | counter=42 | timeElap=HR=0 min=0, sec=45') 
({b"H'\xe2\r\x80h": [-52, 27310]}, ': ', b'SEND: sleep=0.8 | counter=43 | timeElap=HR=0 min=0, sec=46') 
({b"H'\xe2\r\x80h": [-54, 28360]}, ': ', b'SEND: sleep=0.8 | counter=44 | timeElap=HR=0 min=0, sec=47') 
({b"H'\xe2\r\x80h": [-54, 29410]}, ': ', b'SEND: sleep=0.8 | counter=45 | timeElap=HR=0 min=0, sec=48') 
({b"H'\xe2\r\x80h": [-54, 30470]}, ': ', b'SEND: sleep=0.8 | counter=46 | timeElap=HR=0 min=0, sec=49') 
({b"H'\xe2\r\x80h": [-53, 33620]}, ': ', b'SEND: sleep=0.8 | counter=49 | timeElap=HR=0 min=0, sec=52') 
({b"H'\xe2\r\x80h": [-52, 34670]}, ': ', b'SEND: sleep=0.8 | counter=50 | timeElap=HR=0 min=0, sec=53') 
({b"H'\xe2\r\x80h": [-52, 35720]}, ': ', b'SEND: sleep=0.8 | counter=51 | timeElap=HR=0 min=0, sec=54') 
({b"H'\xe2\r\x80h": [-52, 36780]}, ': ', b'SEND: sleep=0.8 | counter=52 | timeElap=HR=0 min=0, sec=55') 
({b"H'\xe2\r\x80h": [-52, 37830]}, ': ', b'SEND: sleep=0.8 | counter=53 | timeElap=HR=0 min=0, sec=56') 
({b"H'\xe2\r\x80h": [-54, 38880]}, ': ', b'SEND: sleep=0.8 | counter=54 | timeElap=HR=0 min=0, sec=57') 
({b"H'\xe2\r\x80h": [-54, 39930]}, ': ', b'SEND: sleep=0.8 | counter=55 | timeElap=HR=0 min=0, sec=59') 
({b"H'\xe2\r\x80h": [-54, 41200]}, ': ', b'SEND: sleep=0.8 | counter=56 | timeElap=HR=0 min=1, sec=0') 
({b"H'\xe2\r\x80h": [-54, 42260]}, ': ', b'SEND: sleep=0.8 | counter=57 | timeElap=HR=0 min=1, sec=1') 
({b"H'\xe2\r\x80h": [-54, 43310]}, ': ', b'SEND: sleep=0.8 | counter=58 | timeElap=HR=0 min=1, sec=2') 
({b"H'\xe2\r\x80h": [-53, 44618]}, ': ', b'SEND: sleep=0.8 | counter=59 | timeElap=HR=0 min=1, sec=3') 
({b"H'\xe2\r\x80h": [-53, 45780]}, ': ', b'SEND: sleep=0.8 | counter=60 | timeElap=HR=0 min=1, sec=4') 
({b"H'\xe2\r\x80h": [-54, 46268]}, ': ', b'SEND: sleep=0.8 | counter=1 | timeElap=HR=0 min=0, sec=1') 
({b"H'\xe2\r\x80h": [-54, 46830]}, ': ', b'SEND: sleep=0.8 | counter=61 | timeElap=HR=0 min=1, sec=5') 
({b"H'\xe2\r\x80h": [-53, 47318]}, ': ', b'SEND: sleep=0.8 | counter=2 | timeElap=HR=0 min=0, sec=2') 
({b"H'\xe2\r\x80h": [-54, 48028]}, ': ', b'SEND: sleep=0.8 | counter=62 | timeElap=HR=0 min=1, sec=7') 
({b"H'\xe2\r\x80h": [-54, 48590]}, ': ', b'SEND: sleep=0.8 | counter=3 | timeElap=HR=0 min=0, sec=3') 
({b"H'\xe2\r\x80h": [-54, 49078]}, ': ', b'SEND: sleep=0.8 | counter=63 | timeElap=HR=0 min=1, sec=8') 
({b"H'\xe2\r\x80h": [-54, 49640]}, ': ', b'SEND: sleep=0.8 | counter=4 | timeElap=HR=0 min=0, sec=4') 
({b"H'\xe2\r\x80h": [-54, 50228]}, ': ', b'SEND: sleep=0.8 | counter=64 | timeElap=HR=0 min=1, sec=9') 
({b"H'\xe2\r\x80h": [-53, 50688]}, ': ', b'SEND: sleep=0.8 | counter=5 | timeElap=HR=0 min=0, sec=5') 
({b"H'\xe2\r\x80h": [-54, 51260]}, ': ', b'SEND: sleep=0.8 | counter=65 | timeElap=HR=0 min=1, sec=10') 
({b"H'\xe2\r\x80h": [-53, 51738]}, ': ', b'SEND: sleep=0.8 | counter=6 | timeElap=HR=0 min=0, sec=6') 
({b"H'\xe2\r\x80h": [-54, 52310]}, ': ', b'SEND: sleep=0.8 | counter=66 | timeElap=HR=0 min=1, sec=11') 
({b"H'\xe2\r\x80h": [-54, 53018]}, ': ', b'SEND: sleep=0.8 | counter=7 | timeElap=HR=0 min=0, sec=8') 
({b"H'\xe2\r\x80h": [-53, 53580]}, ': ', b'SEND: sleep=0.8 | counter=67 | timeElap=HR=0 min=1, sec=12') 
({b"H'\xe2\r\x80h": [-54, 54058]}, ': ', b'SEND: sleep=0.8 | counter=8 | timeElap=HR=0 min=0, sec=9') 
({b"H'\xe2\r\x80h": [-54, 54626]}, ': ', b'SEND: sleep=0.8 | counter=68 | timeElap=HR=0 min=1, sec=13') 
({b"H'\xe2\r\x80h": [-53, 55228]}, ': ', b'SEND: sleep=0.8 | counter=9 | timeElap=HR=0 min=0, sec=10') 
({b"H'\xe2\r\x80h": [-53, 55780]}, ': ', b'SEND: sleep=0.8 | counter=69 | timeElap=HR=0 min=1, sec=14') 
({b"H'\xe2\r\x80h": [-53, 56278]}, ': ', b'SEND: sleep=0.8 | counter=10 | timeElap=HR=0 min=0, sec=11') 
({b"H'\xe2\r\x80h": [-53, 56840]}, ': ', b'SEND: sleep=0.8 | counter=70 | timeElap=HR=0 min=1, sec=15') 
({b"H'\xe2\r\x80h": [-54, 57548]}, ': ', b'SEND: sleep=0.8 | counter=11 | timeElap=HR=0 min=0, sec=12') 
({b"H'\xe2\r\x80h": [-53, 58038]}, ': ', b'SEND: sleep=0.8 | counter=71 | timeElap=HR=0 min=1, sec=17') 
({b"H'\xe2\r\x80h": [-54, 58600]}, ': ', b'SEND: sleep=0.8 | counter=12 | timeElap=HR=0 min=0, sec=13') 
({b"H'\xe2\r\x80h": [-53, 59088]}, ': ', b'SEND: sleep=0.8 | counter=72 | timeElap=HR=0 min=1, sec=18') 
({b"H'\xe2\r\x80h": [-53, 59658]}, ': ', b'SEND: sleep=0.8 | counter=13 | timeElap=HR=0 min=0, sec=14') 
({b"H'\xe2\r\x80h": [-53, 60248]}, ': ', b'SEND: sleep=0.8 | counter=73 | timeElap=HR=0 min=1, sec=19') 
({b"H'\xe2\r\x80h": [-54, 60820]}, ': ', b'SEND: sleep=0.8 | counter=14 | timeElap=HR=0 min=0, sec=15') 
({b"H'\xe2\r\x80h": [-53, 61318]}, ': ', b'SEND: sleep=0.8 | counter=74 | timeElap=HR=0 min=1, sec=20') 
({b"H'\xe2\r\x80h": [-54, 61870]}, ': ', b'SEND: sleep=0.8 | counter=15 | timeElap=HR=0 min=0, sec=16') 
({b"H'\xe2\r\x80h": [-54, 62578]}, ': ', b'SEND: sleep=0.8 | counter=75 | timeElap=HR=0 min=1, sec=21') 
({b"H'\xe2\r\x80h": [-54, 63140]}, ': ', b'SEND: sleep=0.8 | counter=16 | timeElap=HR=0 min=0, sec=18') 
({b"H'\xe2\r\x80h": [-54, 63641]}, ': ', b'SEND: sleep=0.8 | counter=76 | timeElap=HR=0 min=1, sec=22') 
({b"H'\xe2\r\x80h": [-53, 64190]}, ': ', b'SEND: sleep=0.8 | counter=17 | timeElap=HR=0 min=0, sec=19') 
({b"H'\xe2\r\x80h": [-53, 64798]}, ': ', b'SEND: sleep=0.8 | counter=77 | timeElap=HR=0 min=1, sec=23') 
({b"H'\xe2\r\x80h": [-55, 65351]}, ': ', b'SEND: sleep=0.8 | counter=18 | timeElap=HR=0 min=0, sec=20') 
({b"H'\xe2\r\x80h": [-54, 65850]}, ': ', b'SEND: sleep=0.8 | counter=78 | timeElap=HR=0 min=1, sec=24') 
({b"H'\xe2\r\x80h": [-53, 66348]}, ': ', b'SEND: sleep=0.8 | counter=19 | timeElap=HR=0 min=0, sec=21') 
({b"H'\xe2\r\x80h": [-54, 66900]}, ': ', b'SEND: sleep=0.8 | counter=79 | timeElap=HR=0 min=1, sec=25') 
({b"H'\xe2\r\x80h": [-54, 67628]}, ': ', b'SEND: sleep=0.8 | counter=20 | timeElap=HR=0 min=0, sec=22') 
({b"H'\xe2\r\x80h": [-54, 68180]}, ': ', b'SEND: sleep=0.8 | counter=80 | timeElap=HR=0 min=1, sec=27') 
({b"H'\xe2\r\x80h": [-54, 68678]}, ': ', b'SEND: sleep=0.8 | counter=21 | timeElap=HR=0 min=0, sec=23') 
({b"H'\xe2\r\x80h": [-54, 69230]}, ': ', b'SEND: sleep=0.8 | counter=81 | timeElap=HR=0 min=1, sec=28') 
({b"H'\xe2\r\x80h": [-53, 69808]}, ': ', b'SEND: sleep=0.8 | counter=22 | timeElap=HR=0 min=0, sec=24') 
({b"H'\xe2\r\x80h": [-53, 70380]}, ': ', b'SEND: sleep=0.8 | counter=82 | timeElap=HR=0 min=1, sec=29') 
({b"H'\xe2\r\x80h": [-54, 70933]}, ': ', b'SEND: sleep=0.8 | counter=23 | timeElap=HR=0 min=0, sec=25') 
({b"H'\xe2\r\x80h": [-54, 71430]}, ': ', b'SEND: sleep=0.8 | counter=83 | timeElap=HR=0 min=1, sec=30') 
({b"H'\xe2\r\x80h": [-53, 72138]}, ': ', b'SEND: sleep=0.8 | counter=24 | timeElap=HR=0 min=0, sec=27') 
({b"H'\xe2\r\x80h": [-53, 72638]}, ': ', b'SEND: sleep=0.8 | counter=84 | timeElap=HR=0 min=1, sec=31') 
({b"H'\xe2\r\x80h": [-54, 73190]}, ': ', b'SEND: sleep=0.8 | counter=25 | timeElap=HR=0 min=0, sec=28') 
({b"H'\xe2\r\x80h": [-53, 73690]}, ': ', b'SEND: sleep=0.8 | counter=85 | timeElap=HR=0 min=1, sec=32') 
({b"H'\xe2\r\x80h": [-54, 74288]}, ': ', b'SEND: sleep=0.8 | counter=26 | timeElap=HR=0 min=0, sec=29') 
({b"H'\xe2\r\x80h": [-53, 74768]}, ': ', b'SEND: sleep=0.8 | counter=86 | timeElap=HR=0 min=1, sec=33') 
({b"H'\xe2\r\x80h": [-54, 75340]}, ': ', b'SEND: sleep=0.8 | counter=27 | timeElap=HR=0 min=0, sec=30') 
({b"H'\xe2\r\x80h": [-54, 75830]}, ': ', b'SEND: sleep=0.8 | counter=87 | timeElap=HR=0 min=1, sec=34') 
({b"H'\xe2\r\x80h": [-55, 76397]}, ': ', b'SEND: sleep=0.8 | counter=28 | timeElap=HR=0 min=0, sec=31') 
({b"H'\xe2\r\x80h": [-58, 77088]}, ': ', b'SEND: sleep=0.8 | counter=88 | timeElap=HR=0 min=1, sec=36') 
({b"H'\xe2\r\x80h": [-55, 77660]}, ': ', b'SEND: sleep=0.8 | counter=29 | timeElap=HR=0 min=0, sec=32') 
({b"H'\xe2\r\x80h": [-54, 78161]}, ': ', b'SEND: sleep=0.8 | counter=89 | timeElap=HR=0 min=1, sec=37') 
({b"H'\xe2\r\x80h": [-56, 93320]}, ': ', b'SEND: sleep=0.1 | counter=1 | timeElap=HR=0 min=0, sec=0') 
({b"H'\xe2\r\x80h": [-56, 93918]}, ': ', b'SEND: sleep=0.1 | counter=2 | timeElap=HR=0 min=0, sec=1') 
({b"H'\xe2\r\x80h": [-56, 94418]}, ': ', b'SEND: sleep=0.1 | counter=3 | timeElap=HR=0 min=0, sec=2') 
({b"H'\xe2\r\x80h": [-57, 94918]}, ': ', b'SEND: sleep=0.1 | counter=4 | timeElap=HR=0 min=0, sec=2') 
({b"H'\xe2\r\x80h": [-56, 95418]}, ': ', b'SEND: sleep=0.1 | counter=5 | timeElap=HR=0 min=0, sec=3') 
({b"H'\xe2\r\x80h": [-55, 95908]}, ': ', b'SEND: sleep=0.1 | counter=6 | timeElap=HR=0 min=0, sec=3') 
({b"H'\xe2\r\x80h": [-57, 96638]}, ': ', b'SEND: sleep=0.1 | counter=7 | timeElap=HR=0 min=0, sec=4') 
({b"H'\xe2\r\x80h": [-56, 97128]}, ': ', b'SEND: sleep=0.1 | counter=8 | timeElap=HR=0 min=0, sec=4') 
({b"H'\xe2\r\x80h": [-57, 97628]}, ': ', b'SEND: sleep=0.1 | counter=9 | timeElap=HR=0 min=0, sec=5') 
({b"H'\xe2\r\x80h": [-57, 98128]}, ': ', b'SEND: sleep=0.1 | counter=10 | timeElap=HR=0 min=0, sec=5') 
({b"H'\xe2\r\x80h": [-57, 98738]}, ': ', b'SEND: sleep=0.1 | counter=11 | timeElap=HR=0 min=0, sec=6') 
({b"H'\xe2\r\x80h": [-57, 99228]}, ': ', b'SEND: sleep=0.1 | counter=12 | timeElap=HR=0 min=0, sec=6') 
({b"H'\xe2\r\x80h": [-55, 99728]}, ': ', b'SEND: sleep=0.1 | counter=13 | timeElap=HR=0 min=0, sec=7') 
({b"H'\xe2\r\x80h": [-56, 100218]}, ': ', b'SEND: sleep=0.1 | counter=14 | timeElap=HR=0 min=0, sec=7') 
({b"H'\xe2\r\x80h": [-56, 100928]}, ': ', b'SEND: sleep=0.1 | counter=15 | timeElap=HR=0 min=0, sec=8') 
({b"H'\xe2\r\x80h": [-57, 101481]}, ': ', b'SEND: sleep=0.1 | counter=16 | timeElap=HR=0 min=0, sec=9') 
({b"H'\xe2\r\x80h": [-56, 101918]}, ': ', b'SEND: sleep=0.1 | counter=17 | timeElap=HR=0 min=0, sec=9') 
({b"H'\xe2\r\x80h": [-56, 102408]}, ': ', b'SEND: sleep=0.1 | counter=18 | timeElap=HR=0 min=0, sec=10') 
({b"H'\xe2\r\x80h": [-56, 102908]}, ': ', b'SEND: sleep=0.1 | counter=19 | timeElap=HR=0 min=0, sec=10') 
({b"H'\xe2\r\x80h": [-56, 103508]}, ': ', b'SEND: sleep=0.1 | counter=20 | timeElap=HR=0 min=0, sec=11') 
({b"H'\xe2\r\x80h": [-55, 103998]}, ': ', b'SEND: sleep=0.1 | counter=21 | timeElap=HR=0 min=0, sec=11') 
({b"H'\xe2\r\x80h": [-56, 104488]}, ': ', b'SEND: sleep=0.1 | counter=22 | timeElap=HR=0 min=0, sec=12') 
({b"H'\xe2\r\x80h": [-56, 104978]}, ': ', b'SEND: sleep=0.1 | counter=23 | timeElap=HR=0 min=0, sec=12') 
({b"H'\xe2\r\x80h": [-56, 105698]}, ': ', b'SEND: sleep=0.1 | counter=24 | timeElap=HR=0 min=0, sec=13') 
({b"H'\xe2\r\x80h": [-55, 106188]}, ': ', b'SEND: sleep=0.1 | counter=25 | timeElap=HR=0 min=0, sec=13') 
({b"H'\xe2\r\x80h": [-57, 106740]}, ': ', b'SEND: sleep=0.1 | counter=26 | timeElap=HR=0 min=0, sec=14') 
({b"H'\xe2\r\x80h": [-56, 107178]}, ': ', b'SEND: sleep=0.1 | counter=27 | timeElap=HR=0 min=0, sec=14') 
({b"H'\xe2\r\x80h": [-57, 107778]}, ': ', b'SEND: sleep=0.1 | counter=28 | timeElap=HR=0 min=0, sec=15') 
({b"H'\xe2\r\x80h": [-56, 108278]}, ': ', b'SEND: sleep=0.1 | counter=29 | timeElap=HR=0 min=0, sec=15') 
({b"H'\xe2\r\x80h": [-55, 108778]}, ': ', b'SEND: sleep=0.1 | counter=30 | timeElap=HR=0 min=0, sec=16') 
({b"H'\xe2\r\x80h": [-57, 109278]}, ': ', b'SEND: sleep=0.1 | counter=31 | timeElap=HR=0 min=0, sec=16') 
({b"H'\xe2\r\x80h": [-57, 109768]}, ': ', b'SEND: sleep=0.1 | counter=32 | timeElap=HR=0 min=0, sec=17') 
({b"H'\xe2\r\x80h": [-56, 110478]}, ': ', b'SEND: sleep=0.1 | counter=33 | timeElap=HR=0 min=0, sec=18') 
({b"H'\xe2\r\x80h": [-56, 110978]}, ': ', b'SEND: sleep=0.1 | counter=34 | timeElap=HR=0 min=0, sec=18') 
({b"H'\xe2\r\x80h": [-56, 111458]}, ': ', b'SEND: sleep=0.1 | counter=35 | timeElap=HR=0 min=0, sec=19') 
({b"H'\xe2\r\x80h": [-55, 112007]}, ': ', b'SEND: sleep=0.1 | counter=36 | timeElap=HR=0 min=0, sec=19') 
({b"H'\xe2\r\x80h": [-56, 112538]}, ': ', b'SEND: sleep=0.1 | counter=37 | timeElap=HR=0 min=0, sec=20') 
({b"H'\xe2\r\x80h": [-56, 113008]}, ': ', b'SEND: sleep=0.1 | counter=38 | timeElap=HR=0 min=0, sec=20') 
({b"H'\xe2\r\x80h": [-56, 113488]}, ': ', b'SEND: sleep=0.1 | counter=39 | timeElap=HR=0 min=0, sec=21') 
({b"H'\xe2\r\x80h": [-57, 113968]}, ': ', b'SEND: sleep=0.1 | counter=40 | timeElap=HR=0 min=0, sec=21') 
({b"H'\xe2\r\x80h": [-57, 114668]}, ': ', b'SEND: sleep=0.1 | counter=41 | timeElap=HR=0 min=0, sec=22') 
({b"H'\xe2\r\x80h": [-56, 115138]}, ': ', b'SEND: sleep=0.1 | counter=42 | timeElap=HR=0 min=0, sec=22') 
({b"H'\xe2\r\x80h": [-56, 115618]}, ': ', b'SEND: sleep=0.1 | counter=43 | timeElap=HR=0 min=0, sec=23') 
({b"H'\xe2\r\x80h": [-56, 116101]}, ': ', b'SEND: sleep=0.1 | counter=44 | timeElap=HR=0 min=0, sec=23') 
({b"H'\xe2\r\x80h": [-56, 116568]}, ': ', b'SEND: sleep=0.1 | counter=45 | timeElap=HR=0 min=0, sec=24') 
({b"H'\xe2\r\x80h": [-57, 117188]}, ': ', b'SEND: sleep=0.1 | counter=46 | timeElap=HR=0 min=0, sec=24') 
({b"H'\xe2\r\x80h": [-56, 117698]}, ': ', b'SEND: sleep=0.1 | counter=47 | timeElap=HR=0 min=0, sec=25') 
({b"H'\xe2\r\x80h": [-56, 118188]}, ': ', b'SEND: sleep=0.1 | counter=48 | timeElap=HR=0 min=0, sec=25') 
({b"H'\xe2\r\x80h": [-57, 118688]}, ': ', b'SEND: sleep=0.1 | counter=49 | timeElap=HR=0 min=0, sec=26') 
({b"H'\xe2\r\x80h": [-56, 119418]}, ': ', b'SEND: sleep=0.1 | counter=50 | timeElap=HR=0 min=0, sec=27') 
({b"H'\xe2\r\x80h": [-55, 119908]}, ': ', b'SEND: sleep=0.1 | counter=51 | timeElap=HR=0 min=0, sec=27') 
({b"H'\xe2\r\x80h": [-56, 120418]}, ': ', b'SEND: sleep=0.1 | counter=52 | timeElap=HR=0 min=0, sec=28') 
({b"H'\xe2\r\x80h": [-56, 120918]}, ': ', b'SEND: sleep=0.1 | counter=53 | timeElap=HR=0 min=0, sec=28') 
({b"H'\xe2\r\x80h": [-56, 121538]}, ': ', b'SEND: sleep=0.1 | counter=54 | timeElap=HR=0 min=0, sec=29') 
({b"H'\xe2\r\x80h": [-57, 122087]}, ': ', b'SEND: sleep=0.1 | counter=55 | timeElap=HR=0 min=0, sec=29') 
({b"H'\xe2\r\x80h": [-57, 122558]}, ': ', b'SEND: sleep=0.1 | counter=56 | timeElap=HR=0 min=0, sec=30') 
({b"H'\xe2\r\x80h": [-56, 123070]}, ': ', b'SEND: sleep=0.1 | counter=57 | timeElap=HR=0 min=0, sec=30') 
({b"H'\xe2\r\x80h": [-56, 123809]}, ': ', b'SEND: sleep=0.1 | counter=58 | timeElap=HR=0 min=0, sec=31') 
({b"H'\xe2\r\x80h": [-56, 157450]}, ': ', b'SEND: sleep=0.1 | counter=1 | timeElap=HR=0 min=0, sec=0') 
({b"H'\xe2\r\x80h": [-57, 157918]}, ': ', b'SEND: sleep=0.1 | counter=2 | timeElap=HR=0 min=0, sec=1') 
({b"H'\xe2\r\x80h": [-55, 158378]}, ': ', b'SEND: sleep=0.1 | counter=3 | timeElap=HR=0 min=0, sec=1') 
({b"H'\xe2\r\x80h": [-55, 158838]}, ': ', b'SEND: sleep=0.1 | counter=4 | timeElap=HR=0 min=0, sec=1') 
({b"H'\xe2\r\x80h": [-56, 159308]}, ': ', b'SEND: sleep=0.1 | counter=5 | timeElap=HR=0 min=0, sec=2') 
({b"H'\xe2\r\x80h": [-56, 159888]}, ': ', b'SEND: sleep=0.1 | counter=6 | timeElap=HR=0 min=0, sec=3') 
({b"H'\xe2\r\x80h": [-56, 160348]}, ': ', b'SEND: sleep=0.1 | counter=7 | timeElap=HR=0 min=0, sec=3') 
({b"H'\xe2\r\x80h": [-57, 161158]}, ': ', b'SEND: sleep=0.1 | counter=9 | timeElap=HR=0 min=0, sec=4') 
({b"H'\xe2\r\x80h": [-57, 161838]}, ': ', b'SEND: sleep=0.1 | counter=10 | timeElap=HR=0 min=0, sec=4') 
({b"H'\xe2\r\x80h": [-55, 162318]}, ': ', b'SEND: sleep=0.1 | counter=11 | timeElap=HR=0 min=0, sec=5') 
({b"H'\xe2\r\x80h": [-55, 162808]}, ': ', b'SEND: sleep=0.1 | counter=12 | timeElap=HR=0 min=0, sec=5') 
({b"H'\xe2\r\x80h": [-55, 163298]}, ': ', b'SEND: sleep=0.1 | counter=13 | timeElap=HR=0 min=0, sec=6') 
({b"H'\xe2\r\x80h": [-55, 163778]}, ': ', b'SEND: sleep=0.1 | counter=14 | timeElap=HR=0 min=0, sec=6') 
({b"H'\xe2\r\x80h": [-56, 164368]}, ': ', b'SEND: sleep=0.1 | counter=15 | timeElap=HR=0 min=0, sec=7') 
({b"H'\xe2\r\x80h": [-56, 164848]}, ': ', b'SEND: sleep=0.1 | counter=16 | timeElap=HR=0 min=0, sec=8') 
({b"H'\xe2\r\x80h": [-56, 165318]}, ': ', b'SEND: sleep=0.1 | counter=17 | timeElap=HR=0 min=0, sec=8') 
({b"H'\xe2\r\x80h": [-57, 165871]}, ': ', b'SEND: sleep=0.1 | counter=18 | timeElap=HR=0 min=0, sec=8') 
({b"H'\xe2\r\x80h": [-57, 166728]}, ': ', b'SEND: sleep=0.1 | counter=20 | timeElap=HR=0 min=0, sec=9') 
({b"H'\xe2\r\x80h": [-56, 167208]}, ': ', b'SEND: sleep=0.1 | counter=21 | timeElap=HR=0 min=0, sec=10') 
({b"H'\xe2\r\x80h": [-57, 167698]}, ': ', b'SEND: sleep=0.1 | counter=22 | timeElap=HR=0 min=0, sec=10') 
({b"H'\xe2\r\x80h": [-56, 168188]}, ': ', b'SEND: sleep=0.1 | counter=23 | timeElap=HR=0 min=0, sec=11') 
({b"H'\xe2\r\x80h": [-55, 168768]}, ': ', b'SEND: sleep=0.1 | counter=24 | timeElap=HR=0 min=0, sec=11') 
({b"H'\xe2\r\x80h": [-55, 169248]}, ': ', b'SEND: sleep=0.1 | counter=25 | timeElap=HR=0 min=0, sec=12') 
({b"H'\xe2\r\x80h": [-57, 169728]}, ': ', b'SEND: sleep=0.1 | counter=26 | timeElap=HR=0 min=0, sec=12') 
({b"H'\xe2\r\x80h": [-56, 172890]}, ': ', b'SEND: sleep=0.1 | counter=34 | timeElap=HR=0 min=0, sec=16') 
({b"H'\xe2\r\x80h": [-56, 173478]}, ': ', b'SEND: sleep=0.1 | counter=35 | timeElap=HR=0 min=0, sec=16') 
({b"H'\xe2\r\x80h": [-55, 173958]}, ': ', b'SEND: sleep=0.1 | counter=36 | timeElap=HR=0 min=0, sec=17') 
({b"H'\xe2\r\x80h": [-57, 174448]}, ': ', b'SEND: sleep=0.1 | counter=37 | timeElap=HR=0 min=0, sec=17') 
({b"H'\xe2\r\x80h": [-57, 174928]}, ': ', b'SEND: sleep=0.1 | counter=38 | timeElap=HR=0 min=0, sec=18') 
({b"H'\xe2\r\x80h": [-57, 175628]}, ': ', b'SEND: sleep=0.1 | counter=39 | timeElap=HR=0 min=0, sec=18') 
({b"H'\xe2\r\x80h": [-56, 176108]}, ': ', b'SEND: sleep=0.1 | counter=40 | timeElap=HR=0 min=0, sec=19') 
({b"H'\xe2\r\x80h": [-54, 176588]}, ': ', b'SEND: sleep=0.1 | counter=41 | timeElap=HR=0 min=0, sec=19') 
({b"H'\xe2\r\x80h": [-56, 177078]}, ': ', b'SEND: sleep=0.1 | counter=42 | timeElap=HR=0 min=0, sec=20') 
({b"H'\xe2\r\x80h": [-56, 177568]}, ': ', b'SEND: sleep=0.1 | counter=43 | timeElap=HR=0 min=0, sec=20') 
({b"H'\xe2\r\x80h": [-56, 178168]}, ': ', b'SEND: sleep=0.1 | counter=44 | timeElap=HR=0 min=0, sec=21') 
({b"H'\xe2\r\x80h": [-56, 178718]}, ': ', b'SEND: sleep=0.1 | counter=45 | timeElap=HR=0 min=0, sec=21') 
({b"H'\xe2\r\x80h": [-56, 179128]}, ': ', b'SEND: sleep=0.1 | counter=46 | timeElap=HR=0 min=0, sec=22') 
({b"H'\xe2\r\x80h": [-56, 179608]}, ': ', b'SEND: sleep=0.1 | counter=47 | timeElap=HR=0 min=0, sec=22') 
({b"H'\xe2\r\x80h": [-55, 180318]}, ': ', b'SEND: sleep=0.1 | counter=48 | timeElap=HR=0 min=0, sec=23') 
({b"H'\xe2\r\x80h": [-57, 180808]}, ': ', b'SEND: sleep=0.1 | counter=49 | timeElap=HR=0 min=0, sec=23') 
({b"H'\xe2\r\x80h": [-55, 181308]}, ': ', b'SEND: sleep=0.1 | counter=50 | timeElap=HR=0 min=0, sec=24') 
({b"H'\xe2\r\x80h": [-55, 181788]}, ': ', b'SEND: sleep=0.1 | counter=51 | timeElap=HR=0 min=0, sec=24') 
({b"H'\xe2\r\x80h": [-55, 182378]}, ': ', b'SEND: sleep=0.1 | counter=52 | timeElap=HR=0 min=0, sec=25') 
({b"H'\xe2\r\x80h": [-57, 182878]}, ': ', b'SEND: sleep=0.1 | counter=53 | timeElap=HR=0 min=0, sec=26') 
({b"H'\xe2\r\x80h": [-57, 183378]}, ': ', b'SEND: sleep=0.1 | counter=54 | timeElap=HR=0 min=0, sec=26') 
({b"H'\xe2\r\x80h": [-55, 183930]}, ': ', b'SEND: sleep=0.1 | counter=55 | timeElap=HR=0 min=0, sec=27') 
({b"H'\xe2\r\x80h": [-55, 184368]}, ': ', b'SEND: sleep=0.1 | counter=56 | timeElap=HR=0 min=0, sec=27') 
({b"H'\xe2\r\x80h": [-57, 185088]}, ': ', b'SEND: sleep=0.1 | counter=57 | timeElap=HR=0 min=0, sec=28') 
({b"H'\xe2\r\x80h": [-57, 185588]}, ': ', b'SEND: sleep=0.1 | counter=58 | timeElap=HR=0 min=0, sec=28') 
({b"H'\xe2\r\x80h": [-55, 186078]}, ': ', b'SEND: sleep=0.1 | counter=59 | timeElap=HR=0 min=0, sec=29') 
({b"H'\xe2\r\x80h": [-56, 186578]}, ': ', b'SEND: sleep=0.1 | counter=60 | timeElap=HR=0 min=0, sec=29') 
({b"H'\xe2\r\x80h": [-57, 187178]}, ': ', b'SEND: sleep=0.1 | counter=61 | timeElap=HR=0 min=0, sec=30') 
({b"H'\xe2\r\x80h": [-56, 187658]}, ': ', b'SEND: sleep=0.1 | counter=62 | timeElap=HR=0 min=0, sec=30') 
({b"H'\xe2\r\x80h": [-56, 188158]}, ': ', b'SEND: sleep=0.1 | counter=63 | timeElap=HR=0 min=0, sec=31') 
