({b"H'\xe2\r\x80h": [-56, 17146509]}, ': ', b'sleep=70 | counter=102 | timeElap=HR=3 min=27, sec=54') 
({b"H'\xe2\r\x80h": [-56, 17216750]}, ': ', b'sleep=195 | counter=103 | timeElap=HR=3 min=29, sec=4') 
({b"H'\xe2\r\x80h": [-56, 17411990]}, ': ', b'sleep=116 | counter=104 | timeElap=HR=3 min=32, sec=19') 
({b"H'\xe2\r\x80h": [-56, 17528231]}, ': ', b'sleep=91 | counter=105 | timeElap=HR=3 min=34, sec=15') 
({b"H'\xe2\r\x80h": [-56, 17619471]}, ': ', b'sleep=74 | counter=106 | timeElap=HR=3 min=35, sec=47') 
({b"H'\xe2\r\x80h": [-56, 17693711]}, ': ', b'sleep=103 | counter=107 | timeElap=HR=3 min=37, sec=1') 
({b"H'\xe2\r\x80h": [-56, 17796952]}, ': ', b'sleep=177 | counter=108 | timeElap=HR=3 min=38, sec=44') 
({b"H'\xe2\r\x80h": [-57, 17974193]}, ': ', b'sleep=36 | counter=109 | timeElap=HR=3 min=41, sec=41') 
({b"H'\xe2\r\x80h": [-56, 18496451]}, ': ', b'sleep=120 | counter=110 | timeElap=HR=3 min=42, sec=18') 
({b"H'\xe2\r\x80h": [-57, 18616695]}, ': ', b'sleep=29 | counter=111 | timeElap=HR=3 min=52, sec=24') 
({b"H'\xe2\r\x80h": [-56, 18645935]}, ': ', b'sleep=67 | counter=112 | timeElap=HR=3 min=52, sec=53') 
({b"H'\xe2\r\x80h": [-56, 18713176]}, ': ', b'sleep=87 | counter=113 | timeElap=HR=3 min=54, sec=0') 
({b"H'\xe2\r\x80h": [-57, 18800416]}, ': ', b'sleep=73 | counter=114 | timeElap=HR=3 min=55, sec=28') 
({b"H'\xe2\r\x80h": [-57, 19563480]}, ': ', b'sleep=38 | counter=115 | timeElap=HR=3 min=56, sec=41') 
({b"H'\xe2\r\x80h": [-56, 19601719]}, ': ', b'sleep=154 | counter=116 | timeElap=HR=4 min=8, sec=49') 
({b"H'\xe2\r\x80h": [-56, 19755960]}, ': ', b'sleep=153 | counter=117 | timeElap=HR=4 min=11, sec=23') 
({b"H'\xe2\r\x80h": [-57, 19909200]}, ': ', b'sleep=7 | counter=118 | timeElap=HR=4 min=13, sec=56') 
({b"H'\xe2\r\x80h": [-55, 19916440]}, ': ', b'sleep=2 | counter=119 | timeElap=HR=4 min=14, sec=4') 
({b"H'\xe2\r\x80h": [-56, 19918790]}, ': ', b'sleep=93 | counter=120 | timeElap=HR=4 min=14, sec=6') 
({b"H'\xe2\r\x80h": [-56, 20012031]}, ': ', b'sleep=143 | counter=121 | timeElap=HR=4 min=15, sec=39') 
({b"H'\xe2\r\x80h": [-56, 20810510]}, ': ', b'sleep=125 | counter=122 | timeElap=HR=4 min=18, sec=2') 
({b"H'\xe2\r\x80h": [-56, 20935754]}, ': ', b'sleep=59 | counter=123 | timeElap=HR=4 min=31, sec=3') 
({b"H'\xe2\r\x80h": [-57, 20994994]}, ': ', b'sleep=165 | counter=124 | timeElap=HR=4 min=32, sec=2') 
({b"H'\xe2\r\x80h": [-56, 21160235]}, ': ', b'sleep=151 | counter=125 | timeElap=HR=4 min=34, sec=47') 
({b"H'\xe2\r\x80h": [-56, 21311476]}, ': ', b'sleep=158 | counter=126 | timeElap=HR=4 min=37, sec=19') 
({b"H'\xe2\r\x80h": [-56, 21826542]}, ': ', b'sleep=138 | counter=127 | timeElap=HR=4 min=39, sec=57') 
({b"H'\xe2\r\x80h": [-56, 21826542]}, ': ', None) 
({b"H'\xe2\r\x80h": [-56, 21826542]}, ': ', None) 
({b"H'\xe2\r\x80h": [-56, 21826542]}, ': ', None) 
({b"H'\xe2\r\x80h": [-57, 22852560]}, ': ', b'sleep=194 | counter=128 | timeElap=HR=4 min=48, sec=12') 
({b"H'\xe2\r\x80h": [-56, 23047023]}, ': ', b'sleep=116 | counter=129 | timeElap=HR=5 min=6, sec=14') 
({b"H'\xe2\r\x80h": [-56, 23163263]}, ': ', b'sleep=53 | counter=130 | timeElap=HR=5 min=8, sec=10') 
({b"H'\xe2\r\x80h": [-56, 23216503]}, ': ', b'sleep=102 | counter=131 | timeElap=HR=5 min=9, sec=4') 
({b"H'\xe2\r\x80h": [-58, 23318744]}, ': ', b'sleep=80 | counter=132 | timeElap=HR=5 min=10, sec=46') 
({b"H'\xe2\r\x80h": [-56, 23398994]}, ': ', b'sleep=49 | counter=133 | timeElap=HR=5 min=12, sec=6') 
({b"H'\xe2\r\x80h": [-56, 23448234]}, ': ', b'sleep=29 | counter=134 | timeElap=HR=5 min=12, sec=55') 
